POSITION;NUMBER;STATUS;LAPS;TOTAL_TIME;GAP_FIRST;GAP_PREVIOUS;FL_LAPNUM;FL_TIME;FL_KPH;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;ECM Participant Id;ECM Team Id;ECM Category Id;ECM Car Id;ECM Brand Id;ECM Country Id;*Extra 7;*Extra 8;*Extra 9;Sort Key;DRIVER_FIRSTNAME;DRIVER_SECONDNAME;DRIVER_LICENSE;DRIVER_HOMETOWN;DRIVER_COUNTRY;DRIVER_SHORTNAME;DRIVER_ECM Driver Id;DRIVER_ECM Country Id;DRIVER_*Extra 3;DRIVER_*Extra 4;DRIVER_*Extra 5;
1;55;Classified;26;46:41.553;-;-;7;1:39.748;141.7;RVA Graphics Motorsports by Speed Syndicate;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Spike;Kohlbecker;;;USA;;;;;;;
2;2;Classified;26;46:41.723;+0.170;+0.170;4;1:40.305;140.9;RVA Graphics Motorsports by Speed Syndicate;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Will;Robusto;;;USA;;;;;;;
3;13;Classified;26;46:41.980;+0.427;+0.257;4;1:40.133;141.1;BSI Racing;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Westin;Workman;;;USA;;;;;;;
4;46;Classified;26;46:42.568;+1.015;+0.588;9;1:40.229;141.0;Lucas Racing;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Lucas;Weisenberg;;;USA;;;;;;;
5;98;Classified;26;46:42.814;+1.261;+0.246;10;1:40.062;141.2;TechSport;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Max;Schweid;;;USA;;;;;;;
6;47;Classified;26;46:44.251;+2.698;+1.437;10;1:40.322;140.9;TechSport;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Parker;DeLong;;;USA;;;;;;;
7;113;Classified;26;46:45.358;+3.805;+1.107;23;1:40.717;140.3;Nitro Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Ethan;Tovo;;;USA;;;;;;;
8;22;Classified;26;46:46.438;+4.885;+1.080;8;1:40.156;141.1;Copeland Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Jeremy;Fletcher;;;USA;;;;;;;
9;21;Classified;26;46:49.427;+7.874;+2.989;6;1:40.814;140.2;Copeland Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Ford;Koch;;;USA;;;;;;;
10;88;Classified;26;46:49.640;+8.087;+0.213;6;1:40.370;140.8;PT Autosport with Copeland Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Henry;Drury;;;GBR;;;;;;;
11;51;Classified;26;46:52.339;+10.786;+2.699;20;1:41.043;139.8;BSI Racing;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Massimo;Sunseri;;;USA;;;;;;;
12;5;Classified;26;46:52.675;+11.122;+0.336;22;1:40.989;139.9;Copeland Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Beltre;Curtis;;;USA;;;;;;;
13;89;Classified;26;46:53.345;+11.792;+0.670;18;1:41.322;139.5;Eagles Canyon Racing Powered by Fast Track;Am;Legends;GR Cup;Toyota GR86;;;;;;;;;;;;Livio;Galanti;;;ITA;;;;;;;
14;111;Classified;26;46:53.668;+12.115;+0.323;24;1:41.405;139.3;RVA Graphics Motorsports by Speed Syndicate;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Isabella;Robusto;;;USA;;;;;;;
15;03;Classified;26;46:54.155;+12.602;+0.487;18;1:41.384;139.4;Precision Racing LA;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Karl;Forman;;;USA;;;;;;;
16;021;Classified;26;46:55.460;+13.907;+1.305;11;1:41.152;139.7;Eagles Canyon Racing Powered by Fast Track;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Michael;Edwards;;;USA;;;;;;;
17;93;Classified;26;47:01.456;+19.903;+5.996;10;1:42.091;138.4;Eagles Canyon Racing Powered by Fast Track;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Patrick;Brunson;;;USA;;;;;;;
18;61;Classified;26;47:01.592;+20.039;+0.136;6;1:41.811;138.8;Skip Barber Racing;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;James;Klimas;;;USA;;;;;;;
19;11;Classified;26;47:05.386;+23.833;+3.794;9;1:41.713;138.9;RVA Graphics Motorsports by Speed Syndicate;Am;Legends;GR Cup;Toyota GR86;;;;;;;;;;;;Farran;Davis;;;USA;;;;;;;
20;18;Classified;26;47:09.516;+27.963;+4.130;6;1:41.873;138.7;Precision Racing LA;Am;Legends;GR Cup;Toyota GR86;;;;;;;;;;;;Rutledge;Wood;;;USA;;;;;;;
21;3;Classified;26;47:10.548;+28.995;+1.032;6;1:42.306;138.1;Eagles Canyon Racing Powered by Fast Track;Am;Legends;GR Cup;Toyota GR86;;;;;;;;;;;;Jason;Kos;;;USA;;;;;;;
22;20;Classified;26;47:41.261;+59.708;+30.713;23;1:45.118;134.4;Eagles Canyon Racing Powered by Fast Track;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Ramon;Llano;;;MEX;;;;;;;
23;8;Classified;26;48:30.131;+1:48.578;+48.870;17;1:43.621;136.4;Eagles Canyon Racing Powered by Fast Track;Am;Legends;GR Cup;Toyota GR86;;;;;;;;;;;;Tom;Rudnai;;;USA;;;;;;;
24;57;Classified;25;47:42.260;1 Lap;1 Lap;4;1:43.284;136.8;Eagles Canyon Racing Powered by Fast Track;Am;Legends;GR Cup;Toyota GR86;;;;;;;;;;;;Jeff;Curry;;;USA;;;;;;;
25;72;Classified;19;36:35.880;7 Laps;6 Laps;6;1:40.040;141.2;TechSport;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Ethan;Goulart;;;USA;;;;;;;
26;80;Classified;13;23:40.090;13 Laps;6 Laps;3;1:41.547;139.2;Nitro Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Paityn;Feyen;;;USA;;;;;;;
27;7;Classified;11;18:29.347;15 Laps;2 Laps;8;1:40.271;140.9;Copeland Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Jaxon;Bell;;;USA;;;;;;;
28;31;Classified;2;3:34.801;24 Laps;9 Laps;2;1:47.868;131.0;Nitro Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Jackson;Tovo;;;USA;;;;;;;
29;86;Classified;1;1:54.101;25 Laps;1 Lap;0;;;Eagles Canyon Racing Powered by Fast Track;Am;Legends;GR Cup;Toyota GR86;;;;;;;;;;;;Andrew;Gilleland;;;USA;;;;;;;
