POSITION;NUMBER;STATUS;LAPS;TOTAL_TIME;GAP_FIRST;GAP_PREVIOUS;FL_LAPNUM;FL_TIME;FL_KPH;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;ECM Participant Id;ECM Team Id;ECM Category Id;ECM Car Id;ECM Brand Id;ECM Country Id;*Extra 7;*Extra 8;*Extra 9;Sort Key;DRIVER_FIRSTNAME;DRIVER_SECONDNAME;DRIVER_LICENSE;DRIVER_HOMETOWN;DRIVER_COUNTRY;DRIVER_SHORTNAME;DRIVER_ECM Driver Id;DRIVER_ECM Country Id;DRIVER_*Extra 3;DRIVER_*Extra 4;DRIVER_*Extra 5;
1;13;Classified;23;45:30.694;-;-;13;1:40.747;140.3;BSI Racing;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Westin;Workman;;;USA;;;;;;;
2;55;Classified;23;45:30.850;+0.156;+0.156;12;1:40.409;140.7;RVA Graphics Motorsports by Speed Syndicate;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Spike;Kohlbecker;;;USA;;;;;;;
3;7;Classified;23;45:31.601;+0.907;+0.751;13;1:40.801;140.2;Copeland Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Jaxon;Bell;;;USA;;;;;;;
4;2;Classified;23;45:32.333;+1.639;+0.732;12;1:41.003;139.9;RVA Graphics Motorsports by Speed Syndicate;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Will;Robusto;;;USA;;;;;;;
5;88;Classified;23;45:32.711;+2.017;+0.378;13;1:41.112;139.8;PT Autosport with Copeland Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Henry;Drury;;;GBR;;;;;;;
6;21;Classified;23;45:34.615;+3.921;+1.904;11;1:42.056;138.5;Copeland Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Ford;Koch;;;USA;;;;;;;
7;51;Classified;23;45:35.290;+4.596;+0.675;13;1:41.567;139.1;BSI Racing;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Massimo;Sunseri;;;USA;;;;;;;
8;111;Classified;23;45:35.662;+4.968;+0.372;13;1:41.721;138.9;RVA Graphics Motorsports by Speed Syndicate;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Isabella;Robusto;;;USA;;;;;;;
9;89;Classified;23;45:36.357;+5.663;+0.695;13;1:42.585;137.7;Eagles Canyon Racing Powered by Fast Track;Am;Legends;GR Cup;Toyota GR86;;;;;;;;;;;;Livio;Galanti;;;ITA;;;;;;;
10;93;Classified;23;45:36.669;+5.975;+0.312;12;1:42.610;137.7;Eagles Canyon Racing Powered by Fast Track;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Patrick;Brunson;;;USA;;;;;;;
11;021;Classified;23;45:37.690;+6.996;+1.021;13;1:41.337;139.4;Eagles Canyon Racing Powered by Fast Track;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Michael;Edwards;;;USA;;;;;;;
12;98;Classified;23;45:38.393;+7.699;+0.703;13;1:40.485;140.6;TechSport;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Max;Schweid;;;USA;;;;;;;
13;3;Classified;23;45:38.902;+8.208;+0.509;9;1:43.460;136.6;Eagles Canyon Racing Powered by Fast Track;Am;Legends;GR Cup;Toyota GR86;;;;;;;;;;;;Jason;Kos;;;USA;;;;;;;
14;18;Classified;23;45:40.146;+9.452;+1.244;13;1:43.844;136.1;Precision Racing LA;Am;Legends;GR Cup;Toyota GR86;;;;;;;;;;;;Rutledge;Wood;;;USA;;;;;;;
15;11;Classified;23;45:42.371;+11.677;+2.225;12;1:42.811;137.4;RVA Graphics Motorsports by Speed Syndicate;Am;Legends;GR Cup;Toyota GR86;;;;;;;;;;;;Farran;Davis;;;USA;;;;;;;
16;47;Classified;23;45:42.861;+12.167;+0.490;13;1:41.098;139.8;TechSport;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Parker;DeLong;;;USA;;;;;;;
17;86;Classified;23;45:43.489;+12.795;+0.628;12;1:46.085;133.2;Eagles Canyon Racing Powered by Fast Track;Am;Legends;GR Cup;Toyota GR86;;;;;;;;;;;;Andrew;Gilleland;;;USA;;;;;;;
18;8;Classified;23;45:44.855;+14.161;+1.366;12;1:44.255;135.5;Eagles Canyon Racing Powered by Fast Track;Am;Legends;GR Cup;Toyota GR86;;;;;;;;;;;;Tom;Rudnai;;;USA;;;;;;;
19;80;Classified;23;45:46.997;+16.303;+2.142;12;1:42.291;138.1;Nitro Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Paityn;Feyen;;;USA;;;;;;;
20;31;Classified;23;45:47.704;+17.010;+0.707;8;1:40.712;140.3;Nitro Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Jackson;Tovo;;;USA;;;;;;;
21;22;Classified;23;45:50.978;+20.284;+3.274;10;1:40.460;140.7;Copeland Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Jeremy;Fletcher;;;USA;;;;;;;
22;03;Classified;23;46:47.549;+1:16.855;+56.571;11;1:42.343;138.1;Precision Racing LA;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Karl;Forman;;;USA;;;;;;;
23;20;Classified;22;45:44.215;1 Lap;1 Lap;17;1:48.350;130.4;Eagles Canyon Racing Powered by Fast Track;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Ramon;Llano;;;MEX;;;;;;;
24;61;Classified;21;45:45.088;2 Laps;1 Lap;9;1:48.576;130.1;Skip Barber Racing;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;James;Klimas;;;USA;;;;;;;
25;72;Classified;17;32:30.760;6 Laps;4 Laps;10;1:40.885;140.1;TechSport;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Ethan;Goulart;;;USA;;;;;;;
26;57;Classified;17;32:36.221;6 Laps;+5.461;12;1:44.428;135.3;Eagles Canyon Racing Powered by Fast Track;Am;Legends;GR Cup;Toyota GR86;;;;;;;;;;;;Jeff;Curry;;;USA;;;;;;;
27;5;Classified;17;33:45.335;6 Laps;+1:09.114;12;1:42.150;138.3;Copeland Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Beltre;Curtis;;;USA;;;;;;;
28;46;Classified;13;23:08.815;10 Laps;4 Laps;11;1:40.556;140.5;Lucas Racing;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Lucas;Weisenberg;;;USA;;;;;;;
29;113;Classified;4;9:19.066;19 Laps;9 Laps;2;2:04.538;113.5;Nitro Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Ethan;Tovo;;;USA;;;;;;;
