CLASS_TYPE;POS;PIC;NUMBER;TEAM;VEHICLE;DRIVER;LAPS;ELAPSED;GAP_FIRST;GAP_PREVIOUS;BEST_LAP_NUM;BEST_LAP_TIME;BEST_LAP_KPH;
Am;1;1;55;RVA Graphics Motorsports by Speed Syndicate;Toyota GR86;Spike Kohlbecker;26;46:41.553;;;7;1:39.748;141.7;
Am;2;2;2;RVA Graphics Motorsports by Speed Syndicate;Toyota GR86;Will Robusto;26;46:41.723;+0.170;+0.170;4;1:40.305;140.9;
Am;3;3;13;BSI Racing;Toyota GR86;Westin Workman;26;46:41.980;+0.427;+0.257;4;1:40.133;141.1;
Am;4;4;46;Lucas Racing;Toyota GR86;Lucas Weisenberg;26;46:42.568;+1.015;+0.588;9;1:40.229;141.0;
Am;5;5;98;TechSport;Toyota GR86;Max Schweid;26;46:42.814;+1.261;+0.246;10;1:40.062;141.2;
Am;6;6;47;TechSport;Toyota GR86;Parker DeLong;26;46:44.251;+2.698;+1.437;10;1:40.322;140.9;
Am;7;7;113;Nitro Motorsports;Toyota GR86;Ethan Tovo;26;46:45.358;+3.805;+1.107;23;1:40.717;140.3;
Am;8;8;22;Copeland Motorsports;Toyota GR86;Jeremy Fletcher;26;46:46.438;+4.885;+1.080;8;1:40.156;141.1;
Am;9;9;21;Copeland Motorsports;Toyota GR86;Ford Koch;26;46:49.427;+7.874;+2.989;6;1:40.814;140.2;
Am;10;10;88;PT Autosport with Copeland Motorsports;Toyota GR86;Henry Drury;26;46:49.640;+8.087;+0.213;6;1:40.370;140.8;
Am;11;11;51;BSI Racing;Toyota GR86;Massimo Sunseri;26;46:52.339;+10.786;+2.699;20;1:41.043;139.8;
Am;12;12;5;Copeland Motorsports;Toyota GR86;Beltre Curtis;26;46:52.675;+11.122;+0.336;22;1:40.989;139.9;
Am;13;13;89;Eagles Canyon Racing Powered by Fast Track;Toyota GR86;Livio Galanti;26;46:53.345;+11.792;+0.670;18;1:41.322;139.5;
Am;14;14;111;RVA Graphics Motorsports by Speed Syndicate;Toyota GR86;Isabella Robusto;26;46:53.668;+12.115;+0.323;24;1:41.405;139.3;
Am;15;15;03;Precision Racing LA;Toyota GR86;Karl Forman;26;46:54.155;+12.602;+0.487;18;1:41.384;139.4;
Am;16;16;021;Eagles Canyon Racing Powered by Fast Track;Toyota GR86;Michael Edwards;26;46:55.460;+13.907;+1.305;11;1:41.152;139.7;
Am;17;17;93;Eagles Canyon Racing Powered by Fast Track;Toyota GR86;Patrick Brunson;26;47:01.456;+19.903;+5.996;10;1:42.091;138.4;
Am;18;18;61;Skip Barber Racing;Toyota GR86;James Klimas;26;47:01.592;+20.039;+0.136;6;1:41.811;138.8;
Am;19;19;11;RVA Graphics Motorsports by Speed Syndicate;Toyota GR86;Farran Davis;26;47:05.386;+23.833;+3.794;9;1:41.713;138.9;
Am;20;20;18;Precision Racing LA;Toyota GR86;Rutledge Wood;26;47:09.516;+27.963;+4.130;6;1:41.873;138.7;
Am;21;21;3;Eagles Canyon Racing Powered by Fast Track;Toyota GR86;Jason Kos;26;47:10.548;+28.995;+1.032;6;1:42.306;138.1;
Am;22;22;20;Eagles Canyon Racing Powered by Fast Track;Toyota GR86;Ramon Llano;26;47:41.261;+59.708;+30.713;23;1:45.118;134.4;
Am;23;23;8;Eagles Canyon Racing Powered by Fast Track;Toyota GR86;Tom Rudnai;26;48:30.131;+1'48.578;+48.870;17;1:43.621;136.4;
Am;24;24;57;Eagles Canyon Racing Powered by Fast Track;Toyota GR86;Jeff Curry;25;47:42.260;1 Laps;1 Laps;4;1:43.284;136.8;
Am;25;25;72;TechSport;Toyota GR86;Ethan Goulart;19;36:35.880;7 Laps;6 Laps;6;1:40.040;141.2;
Am;26;26;80;Nitro Motorsports;Toyota GR86;Paityn Feyen;13;23:40.090;13 Laps;6 Laps;3;1:41.547;139.2;
Am;27;27;7;Copeland Motorsports;Toyota GR86;Jaxon Bell;11;18:29.347;15 Laps;2 Laps;8;1:40.271;140.9;
Am;28;28;31;Nitro Motorsports;Toyota GR86;Jackson Tovo;2;3:34.801;24 Laps;9 Laps;2;1:47.868;131.0;
Am;29;29;86;Eagles Canyon Racing Powered by Fast Track;Toyota GR86;Andrew Gilleland;1;1:54.101;25 Laps;1 Laps;0;;;
