NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;FLAG_AT_FL;S1_SECONDS;S2_SECONDS;S3_SECONDS;IM1a_time;IM1a_elapsed;IM1_time;IM1_elapsed;IM2a_time;IM2a_elapsed;IM2_time;IM2_elapsed;IM3a_time;IM3a_elapsed;FL_time;FL_elapsed;
021;1;1;1:47.285;0;;39.316;0;34.464;0;33.505;0;131.7;1:47.285;08:51:09.601;0:39.316;0:34.464;0:33.505;201.1;Michael Edwards;;Am;;Eagles Canyon Racing Powered by Fast Track;Toyota Gazoo Racing;GF;39.316;34.464;33.505;28.479;28.479;10.837;39.316;19.536;58.852;14.928;1:13.780;13.207;1:26.987;20.298;1:47.285;
021;1;2;1:42.637;0;;35.329;0;34.248;0;33.060;0;137.7;3:29.922;08:52:52.238;0:35.329;0:34.248;0:33.060;214.3;Michael Edwards;;Am;;Eagles Canyon Racing Powered by Fast Track;Toyota Gazoo Racing;GF;35.329;34.248;33.060;24.855;24.855;10.474;35.329;19.403;54.732;14.845;1:09.577;13.170;1:22.747;19.890;1:42.637;
021;1;3;1:41.899;0;;34.760;0;34.155;0;32.984;0;138.7;5:11.821;08:54:34.137;0:34.760;0:34.155;0:32.984;210.1;Michael Edwards;;Am;;Eagles Canyon Racing Powered by Fast Track;Toyota Gazoo Racing;GF;34.760;34.155;32.984;24.315;24.315;10.445;34.760;19.462;54.222;14.693;1:08.915;13.091;1:22.006;19.893;1:41.899;
021;1;4;1:41.959;0;;35.005;0;34.066;0;32.888;0;138.6;6:53.780;08:56:16.096;0:35.005;0:34.066;0:32.888;209.3;Michael Edwards;;Am;;Eagles Canyon Racing Powered by Fast Track;Toyota Gazoo Racing;GF;35.005;34.066;32.888;24.583;24.583;10.422;35.005;19.227;54.232;14.839;1:09.071;13.004;1:22.075;19.884;1:41.959;
021;1;5;1:41.422;0;;34.386;0;34.020;0;33.016;0;139.3;8:35.202;08:57:57.518;0:34.386;0:34.020;0:33.016;212.2;Michael Edwards;;Am;;Eagles Canyon Racing Powered by Fast Track;Toyota Gazoo Racing;GF;34.386;34.020;33.016;24.052;24.052;10.334;34.386;19.236;53.622;14.784;1:08.406;13.136;1:21.542;19.880;1:41.422;
021;1;6;1:41.498;0;;34.509;0;33.893;0;33.096;0;139.2;10:16.700;08:59:39.016;0:34.509;0:33.893;0:33.096;212.2;Michael Edwards;;Am;;Eagles Canyon Racing Powered by Fast Track;Toyota Gazoo Racing;GF;34.509;33.893;33.096;24.161;24.161;10.348;34.509;19.200;53.709;14.693;1:08.402;13.044;1:21.446;20.052;1:41.498;
021;1;7;1:42.230;0;;34.910;0;34.141;0;33.179;0;138.2;11:58.930;09:01:21.246;0:34.910;0:34.141;0:33.179;212.2;Michael Edwards;;Am;;Eagles Canyon Racing Powered by Fast Track;Toyota Gazoo Racing;GF;34.910;34.141;33.179;24.508;24.508;10.402;34.910;19.225;54.135;14.916;1:09.051;13.082;1:22.133;20.097;1:42.230;
021;1;8;1:42.121;0;;35.233;0;34.057;0;32.831;0;138.4;13:41.051;09:03:03.367;0:35.233;0:34.057;0:32.831;209.3;Michael Edwards;;Am;;Eagles Canyon Racing Powered by Fast Track;Toyota Gazoo Racing;GF;35.233;34.057;32.831;24.868;24.868;10.365;35.233;19.175;54.408;14.882;1:09.290;13.020;1:22.310;19.811;1:42.121;
021;1;9;1:41.724;0;;34.625;0;34.082;0;33.017;0;138.9;15:22.775;09:04:45.091;0:34.625;0:34.082;0:33.017;213.0;Michael Edwards;;Am;;Eagles Canyon Racing Powered by Fast Track;Toyota Gazoo Racing;GF;34.625;34.082;33.017;24.219;24.219;10.406;34.625;19.183;53.808;14.899;1:08.707;13.089;1:21.796;19.928;1:41.724;
021;1;10;1:41.382;0;;34.584;0;33.940;0;32.858;0;139.4;17:04.157;09:06:26.473;0:34.584;0:33.940;0:32.858;212.2;Michael Edwards;;Am;;Eagles Canyon Racing Powered by Fast Track;Toyota Gazoo Racing;GF;34.584;33.940;32.858;24.246;24.246;10.338;34.584;19.152;53.736;14.788;1:08.524;12.975;1:21.499;19.883;1:41.382;
